district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000,air_quality_index,pm2_5,pm10,no2,noise_level_db,green_coverage_pct,review_count,avg_rating,avg_sentiment,positive_share,negative_share,top_problem_1,top_problem_2,top_problem_3,infrastructure_score,education_score,healthcare_score,transport_score,ecology_score,safety_score,leisure_score,social_score,total_index,grade,cluster,pca_1,pca_2
Карасунский,45.028704,38.968083,474226,preset,district,Карасунский,12,0.025,13,0.027,5,0.011,6,0.013,38,0.08,118,0.249,47,0.099,50,0.105,4,0.008,2,0.004,11,0.023,10,0.021,21,0.044,65,0.137,20,0.042,5,0.011,16,0.034,16,0.034,5,0.011,13,0.027,38,0.08,3,7.6,9.8,1.5,49.7,29.6,653,4.02,0.971,0.949,0.008,Медицина,Магазины,Озеленение,70.3,43.3,98.0,86.9,74.8,94.7,94.3,47.9,74.2,A,1,2.9110113611305137,-0.9112457226560505
Западный,45.033174,38.916123,165858,preset,district,Западный,9,0.054,9,0.054,0,0.0,1,0.006,28,0.169,14,0.084,12,0.072,6,0.036,1,0.006,0,0.0,0,0.0,7,0.042,1,0.006,66,0.398,18,0.109,3,0.018,10,0.06,34,0.205,6,0.036,16,0.096,23,0.139,3,7.6,9.8,1.5,43.9,41.4,191,4.03,0.979,0.963,0.005,Медицина,Магазины,Транспорт,70.9,26.8,50.5,80.7,83.2,94.7,71.2,50.0,66.0,B,1,0.9379985526546742,-0.06161061853027046
Центральный,45.018167,39.001311,459277,preset,district,Центральный,4,0.009,14,0.03,3,0.007,5,0.011,21,0.046,7,0.015,8,0.017,17,0.037,0,0.0,0,0.0,1,0.002,8,0.017,1,0.002,38,0.083,7,0.015,1,0.002,7,0.015,21,0.046,3,0.007,19,0.041,17,0.037,3,7.6,9.8,1.3,53.1,10.0,219,4.04,0.982,0.968,0.005,Медицина,Магазины,Освещение,69.8,21.0,94.7,6.7,63.3,93.8,70.0,50.9,56.2,B,2,-0.624155692537181,2.248533283050017
Прикубанский,45.108812,38.956354,55523,preset,district,Прикубанский,2,0.036,8,0.144,0,0.0,1,0.018,3,0.054,1,0.018,2,0.036,0,0.0,0,0.0,0,0.0,0,0.0,4,0.072,0,0.0,4,0.072,2,0.036,1,0.018,1,0.018,43,0.774,0,0.0,24,0.432,16,0.288,3,7.6,9.8,1.5,48.7,19.8,82,4.06,0.976,0.951,0.0,Магазины,Транспорт,Озеленение,48.8,23.3,30.5,34.4,59.1,74.8,37.5,50.0,45.2,C,0,-3.2248542212480067,-1.2756769418636946
