district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000
Восточный,57.108218,65.615321,388442,preset,district,Восточный,4,0.01,9,0.023,0,0.0,4,0.01,20,0.051,4,0.01,1,0.003,2,0.005,1,0.003,0,0.0,1,0.003,6,0.015,1,0.003,11,0.028,21,0.054,1,0.003,4,0.01,83,0.214,5,0.013,38,0.098,41,0.106
Калининский,57.161222,65.422546,231702,preset,district,Калининский,0,0.0,2,0.009,1,0.004,0,0.0,0,0.0,2,0.009,2,0.009,0,0.0,0,0.0,0,0.0,0,0.0,2,0.009,0,0.0,4,0.017,0,0.0,0,0.0,0,0.0,2,0.009,0,0.0,3,0.013,23,0.099
Ленинский,57.176503,65.705459,79861,preset,district,Ленинский,1,0.013,1,0.013,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.013,0,0.0,0,0.0,0,0.0,0,0.0,1,0.013,2,0.025,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,0.15
Центральный,57.209185,65.53375,172073,preset,district,Центральный,0,0.0,2,0.012,0,0.0,1,0.006,2,0.012,0,0.0,1,0.006,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.012,4,0.023,1,0.006,2,0.012,4,0.023,0,0.0,3,0.017,20,0.116
