district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000
Авиастроительный,55.879301,49.102851,276197,preset,district,Авиастроительный,2,0.007,2,0.007,1,0.004,1,0.004,2,0.007,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.004,0,0.0,1,0.004,8,0.029,0,0.0,1,0.004,11,0.04,0,0.0,2,0.007,20,0.072
Вахитовский,55.780678,49.112753,312223,preset,district,Вахитовский,12,0.038,15,0.048,5,0.016,19,0.061,39,0.125,233,0.746,74,0.237,39,0.125,5,0.016,3,0.01,10,0.032,13,0.042,4,0.013,53,0.17,29,0.093,12,0.038,27,0.086,42,0.135,19,0.061,18,0.058,69,0.221
Кировский,55.814967,48.970607,46909,preset,district,Кировский,1,0.021,1,0.021,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.021,1,0.021
Московский,55.855948,49.008044,106076,preset,district,Московский,0,0.0,3,0.028,0,0.0,1,0.009,2,0.019,2,0.019,0,0.0,2,0.019,0,0.0,0,0.0,0,0.0,2,0.019,0,0.0,3,0.028,3,0.028,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15,0.141
Ново-Савиновский,55.827559,49.13357,253181,preset,district,Ново-Савиновский,15,0.059,30,0.118,1,0.004,25,0.099,84,0.332,63,0.249,16,0.063,32,0.126,3,0.012,1,0.004,0,0.0,13,0.051,0,0.0,66,0.261,74,0.292,11,0.043,6,0.024,93,0.367,16,0.063,56,0.221,57,0.225
Приволжский,55.689873,49.081401,57541,preset,district,Приволжский,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.017,0,0.0,0,0.0,0,0.0,2,0.035,0,0.0,0,0.0,4,0.07
Советский,55.82331,49.264437,277698,preset,district,Советский,1,0.004,0,0.0,0,0.0,0,0.0,2,0.007,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.004,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.004,1,0.004
