district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000,air_quality_index,pm2_5,pm10,no2,noise_level_db,green_coverage_pct,review_count,avg_rating,avg_sentiment,positive_share,negative_share,top_problem_1,top_problem_2,top_problem_3,infrastructure_score,education_score,healthcare_score,transport_score,ecology_score,safety_score,leisure_score,social_score,total_index,grade,cluster,pca_1,pca_2
Вахитовский,55.780678,49.112753,312223,preset,district,Вахитовский,12,0.038,15,0.048,5,0.016,19,0.061,39,0.125,233,0.746,74,0.237,39,0.125,5,0.016,3,0.01,10,0.032,13,0.042,4,0.013,53,0.17,29,0.093,12,0.038,27,0.086,42,0.135,19,0.061,18,0.058,69,0.221,3,11.5,12.7,1.2,50.6,23.1,2829,3.4,0.655,0.648,0.338,Медицина,ЖКХ,Магазины,70.9,46.7,99.9,64.1,70.4,81.5,99.2,59.9,72.2,A,2,4.102846753824207,-0.4935186454845072
Ново-Савиновский,55.827559,49.13357,253181,preset,district,Ново-Савиновский,15,0.059,30,0.118,1,0.004,25,0.099,84,0.332,63,0.249,16,0.063,32,0.126,3,0.012,1,0.004,0,0.0,13,0.051,0,0.0,66,0.261,74,0.292,11,0.043,6,0.024,93,0.367,16,0.063,56,0.221,57,0.225,3,12.0,13.1,1.1,51.6,27.7,2554,3.32,0.637,0.634,0.359,Медицина,Освещение,ЖКХ,73.3,40.6,83.3,64.1,69.2,80.6,77.1,57.8,67.5,B,2,3.3355852906629186,-0.36966031225365914
Авиастроительный,55.879301,49.102851,276197,preset,district,Авиастроительный,2,0.007,2,0.007,1,0.004,1,0.004,2,0.007,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.004,0,0.0,1,0.004,8,0.029,0,0.0,1,0.004,11,0.04,0,0.0,2,0.007,20,0.072,3,12.0,13.1,1.1,50.3,12.6,106,3.72,0.807,0.783,0.17,Озеленение,Медицина,Магазины,37.5,20.6,38.1,60.0,53.2,66.1,33.9,75.4,50.5,C,0,-0.5564479107856681,1.955913101887527
Московский,55.855948,49.008044,106076,preset,district,Московский,0,0.0,3,0.028,0,0.0,1,0.009,2,0.019,2,0.019,0,0.0,2,0.019,0,0.0,0,0.0,0,0.0,2,0.019,0,0.0,3,0.028,3,0.028,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15,0.141,3,12.0,13.1,1.1,46.9,17.8,43,3.91,0.942,0.884,0.0,Освещение,Магазины,Транспорт,44.9,20.9,27.5,55.7,55.9,56.5,21.0,83.4,49.4,C,0,-0.8431393582386578,2.107458900473305
Кировский,55.814967,48.970607,46909,preset,district,Кировский,1,0.021,1,0.021,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.021,1,0.021,3,11.7,12.8,1.1,35.7,6.0,40,3.38,0.775,0.675,0.125,Магазины,Транспорт,Озеленение,24.4,21.1,18.3,19.2,58.2,30.8,19.6,67.2,34.6,D,3,-2.282288584083837,-0.2766643995920871
Приволжский,55.689873,49.081401,57541,preset,district,Приволжский,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.017,0,0.0,0,0.0,0,0.0,2,0.035,0,0.0,0,0.0,4,0.07,3,11.5,12.7,1.2,35.6,15.2,10,2.3,0.55,0.2,0.1,Транспорт,Магазины,Озеленение,25.3,20.4,18.3,25.8,61.5,33.6,21.8,49.6,33.4,D,1,-1.863142120546099,-1.4458301042586312
Советский,55.82331,49.264437,277698,preset,district,Советский,1,0.004,0,0.0,0,0.0,0,0.0,2,0.007,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.004,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.004,1,0.004,3,12.3,13.4,1.2,36.4,20.4,14,2.86,0.679,0.429,0.071,Медицина,Магазины,Транспорт,25.3,20.5,23.0,19.0,62.9,32.9,19.6,53.3,33.4,D,1,-1.8934140708328608,-1.4776985407719483
