district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000,air_quality_index,pm2_5,pm10,no2,noise_level_db,green_coverage_pct,review_count,avg_rating,avg_sentiment,positive_share,negative_share,top_problem_1,top_problem_2,top_problem_3,infrastructure_score,education_score,healthcare_score,transport_score,ecology_score,safety_score,leisure_score,social_score,total_index,grade,cluster,pca_1,pca_2
Кировский,55.009071,73.297684,160540,preset,district,Кировский,4,0.025,6,0.037,3,0.019,2,0.012,18,0.112,4,0.025,1,0.006,1,0.006,1,0.006,0,0.0,0,0.0,4,0.025,0,0.0,10,0.062,8,0.05,1,0.006,0,0.0,41,0.255,4,0.025,30,0.187,30,0.187,2,6.4,14.1,0.3,48.3,47.1,187,4.04,0.965,0.947,0.016,Медицина,Магазины,Транспорт,55.8,95.0,81.6,63.5,70.0,89.5,46.2,91.2,73.9,A,0,3.487087126345214,-0.9447264663341548
Центральный,55.015104,73.430447,563377,preset,district,Центральный,2,0.004,2,0.004,2,0.004,1,0.002,11,0.02,1,0.002,0,0.0,2,0.004,0,0.0,0,0.0,0,0.0,4,0.007,0,0.0,39,0.069,4,0.007,1,0.002,4,0.007,8,0.014,0,0.0,11,0.02,29,0.051,2,6.2,13.5,0.3,50.0,27.6,104,4.07,0.962,0.933,0.01,Медицина,Магазины,Транспорт,58.6,19.0,69.7,61.9,74.2,89.9,40.4,91.2,65.3,B,2,2.6783210095687857,1.0490868868303136
Ленинский,54.889599,73.418246,262364,preset_missing,district,Ленинский,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.004,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.004,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16,0.061,2,6.8,16.0,0.2,52.4,18.8,13,2.92,0.692,0.462,0.077,Магазины,Транспорт,Озеленение,25.2,15.0,18.3,56.3,57.9,43.7,20.2,53.4,38.5,C,3,-1.9171042822110456,-0.9532947663010287
Октябрьский,54.963457,73.49942,8803,preset,district,Октябрьский,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.114,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.568,2,6.8,16.0,0.2,44.9,36.4,24,3.25,0.812,0.667,0.042,Медицина,Магазины,Транспорт,25.8,15.0,18.3,34.7,70.9,34.7,19.6,61.7,37.4,D,1,-1.7068641624786411,0.9759476329503918
Советский,55.067701,73.233377,106283,preset,district,Советский,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.019,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.009,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.009,2,0.019,2,6.4,14.1,0.3,43.9,3.0,10,1.9,0.6,0.2,0.0,Магазины,Транспорт,Озеленение,29.0,15.0,18.3,20.9,60.2,35.0,21.0,50.1,32.7,D,1,-2.5414396912243133,-0.1270132871455214
