district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000,air_quality_index,pm2_5,pm10,no2,noise_level_db,green_coverage_pct,review_count,avg_rating,avg_sentiment,positive_share,negative_share,top_problem_1,top_problem_2,top_problem_3,infrastructure_score,education_score,healthcare_score,transport_score,ecology_score,safety_score,leisure_score,social_score,total_index,grade,cluster,pca_1,pca_2
Индустриальный,53.33535,83.681812,56017,preset,district,Индустриальный,8,0.143,17,0.303,0,0.0,15,0.268,34,0.607,12,0.214,5,0.089,15,0.268,2,0.036,2,0.036,0,0.0,18,0.321,1,0.018,34,0.607,31,0.553,17,0.303,1,0.018,140,2.499,17,0.303,49,0.875,73,1.303,3,1.2,2.8,0.7,45.7,35.7,639,4.02,0.972,0.964,0.02,Медицина,Магазины,Озеленение,78.2,39.0,72.7,79.5,80.5,94.2,71.2,91.5,77.5,A,2,3.9539735507979588,0.6776923322838645
Железнодорожный,53.352713,83.741069,339601,preset,district,Железнодорожный,6,0.018,6,0.018,1,0.003,3,0.009,6,0.018,12,0.035,3,0.009,3,0.009,0,0.0,1,0.003,0,0.0,4,0.012,0,0.0,14,0.041,13,0.038,2,0.006,5,0.015,18,0.053,2,0.006,4,0.012,45,0.133,3,1.2,2.8,0.7,52.1,10.0,324,4.08,0.974,0.957,0.009,Медицина,Магазины,Озеленение,61.3,21.0,61.9,63.0,25.4,92.8,66.2,92.2,62.5,B,0,1.8155067711822488,-1.603135143549469
Октябрьский,53.388276,83.804458,9654,preset,district,Октябрьский,0,0.0,1,0.104,0,0.0,1,0.104,2,0.207,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.207,2,0.207,0,0.0,0,0.0,1,0.104,0,0.0,0,0.0,12,1.243,3,1.1,2.5,0.8,36.6,29.3,24,3.75,0.875,0.792,0.042,Магазины,Транспорт,Озеленение,30.8,22.1,27.5,65.2,88.0,45.7,20.6,65.5,48.3,C,3,-0.8759222846625995,1.6439895319816291
Ленинский,53.363561,83.550454,132731,preset_missing,district,Ленинский,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.008,1,0.008,0,0.0,0,0.0,0,0.0,0,0.0,2,0.015,0,0.0,1,0.008,0,0.0,0,0.0,0,0.0,1,0.008,0,0.0,1,0.008,11,0.083,3,1.3,3.1,0.6,45.0,21.9,15,3.07,0.7,0.533,0.133,Магазины,Транспорт,Озеленение,34.5,20.4,18.3,46.4,8.1,39.7,22.0,54.1,32.9,D,1,-2.300969780000794,-0.6582695808873391
Центральный,53.231173,83.696337,85055,preset_missing,district,Центральный,0,0.0,1,0.012,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.012,1,0.012,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,0.106,3,1.2,2.8,0.7,37.0,15.9,9,2.44,0.556,0.222,0.111,Магазины,Транспорт,Озеленение,26.2,20.6,18.3,40.9,31.9,39.0,19.6,49.9,32.6,D,1,-2.5925882573168137,-0.060277139828685475
