district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000,air_quality_index,pm2_5,pm10,no2,noise_level_db,green_coverage_pct,review_count,avg_rating,avg_sentiment,positive_share,negative_share,top_problem_1,top_problem_2,top_problem_3,infrastructure_score,education_score,healthcare_score,transport_score,ecology_score,safety_score,leisure_score,social_score,total_index,grade,cluster,pca_1,pca_2
Центральный,55.718657,52.419159,11520,preset,district,Центральный,6,0.521,7,0.608,1,0.087,0,0.0,5,0.434,4,0.347,0,0.0,0,0.0,1,0.087,0,0.0,0,0.0,6,0.521,0,0.0,11,0.955,4,0.347,9,0.781,0,0.0,21,1.823,4,0.347,18,1.562,16,1.389,3,15.1,16.5,2.9,47.5,26.4,165,3.98,0.964,0.945,0.018,Озеленение,ЖКХ,Магазины,63.5,46.3,43.2,74.8,95.0,80.5,45.1,51.8,63.0,B,0,3.101251399786472,0.77832133590162
Комсомольский,55.679409,52.330904,19872,preset,district,Комсомольский,2,0.101,10,0.503,1,0.05,0,0.0,6,0.302,4,0.201,1,0.05,0,0.0,0,0.0,0,0.0,0,0.0,1,0.05,0,0.0,9,0.453,14,0.705,1,0.05,0,0.0,49,2.466,0,0.0,18,0.906,13,0.654,3,14.8,16.1,3.0,51.8,18.7,103,3.98,0.956,0.932,0.019,Магазины,Транспорт,Озеленение,48.6,31.3,46.3,58.7,12.9,77.5,37.2,50.0,45.9,C,0,0.28123480016095487,-1.377406006109954
Автозаводский,55.740715,52.467155,12320,preset_missing,district,Автозаводский,1,0.081,0,0.0,0,0.0,0,0.0,1,0.081,2,0.162,0,0.0,1,0.081,0,0.0,0,0.0,0,0.0,1,0.081,0,0.0,1,0.081,3,0.244,0,0.0,0,0.0,6,0.487,0,0.0,3,0.244,8,0.649,3,15.1,16.5,2.9,47.1,10.0,53,3.91,0.934,0.887,0.019,Магазины,Транспорт,Озеленение,36.2,21.7,20.4,44.8,23.4,54.1,28.9,43.7,35.3,D,1,-3.382486199947427,0.5990846702083337
