district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000,air_quality_index,pm2_5,pm10,no2,noise_level_db,green_coverage_pct,review_count,avg_rating,avg_sentiment,positive_share,negative_share,top_problem_1,top_problem_2,top_problem_3,infrastructure_score,education_score,healthcare_score,transport_score,ecology_score,safety_score,leisure_score,social_score,total_index,grade,cluster,pca_1,pca_2
Ленинский,56.303566,43.947497,100035,preset,district,Ленинский,1,0.01,3,0.03,2,0.02,7,0.07,17,0.17,16,0.16,0,0.0,3,0.03,0,0.0,0,0.0,1,0.01,6,0.06,0,0.0,31,0.31,20,0.2,0,0.0,15,0.15,33,0.33,4,0.04,32,0.32,40,0.4,2,7.6,8.1,1.5,47.9,49.8,164,4.05,0.97,0.945,0.006,Медицина,Безопасность,Магазины,64.8,21.0,92.8,56.2,86.1,85.0,72.9,79.2,69.9,A,0,0.38514556266575806,1.9430780144845898
Московский,56.331298,43.858165,97860,preset,district,Московский,9,0.092,28,0.286,4,0.041,1,0.01,28,0.286,25,0.255,6,0.061,9,0.092,5,0.051,0,0.0,0,0.0,6,0.061,0,0.0,38,0.388,25,0.255,1,0.01,16,0.163,64,0.654,6,0.061,16,0.163,30,0.307,2,7.6,8.1,1.5,43.9,29.9,181,4.06,0.956,0.923,0.011,Магазины,Медицина,Транспорт,73.2,51.7,77.4,52.0,85.2,85.0,71.3,51.8,66.9,B,3,1.7586519918171544,0.12212963207351793
Советский,56.282607,44.017225,153314,preset,district,Советский,3,0.02,6,0.039,2,0.013,1,0.007,15,0.098,9,0.059,0,0.0,2,0.013,1,0.007,0,0.0,0,0.0,2,0.013,0,0.0,29,0.189,9,0.059,0,0.0,4,0.026,23,0.15,4,0.026,14,0.091,30,0.196,2,7.8,8.3,1.4,37.4,43.1,188,4.04,0.979,0.963,0.005,Освещение,Магазины,Медицина,55.3,26.1,71.2,47.8,87.6,65.1,60.2,95.0,65.3,B,2,-1.352976604511996,1.7729967216181906
Нижегородский,56.328033,44.002105,175931,preset,district,Нижегородский,6,0.034,14,0.08,7,0.04,8,0.045,25,0.142,139,0.79,99,0.563,37,0.21,6,0.034,3,0.017,3,0.017,7,0.04,7,0.04,26,0.148,17,0.097,2,0.011,41,0.233,56,0.318,9,0.051,23,0.131,36,0.205,2,7.8,8.3,1.4,47.8,58.4,741,3.97,0.952,0.937,0.032,Медицина,Магазины,Озеленение,70.9,48.6,99.5,48.7,87.0,70.1,98.2,21.6,63.9,B,3,3.164566658851645,-0.06967893450938384
Сормовский,56.371624,43.806166,254219,preset,district,Сормовский,6,0.024,13,0.051,0,0.0,0,0.0,15,0.059,9,0.035,0,0.0,1,0.004,1,0.004,0,0.0,0,0.0,3,0.012,0,0.0,26,0.102,20,0.079,2,0.008,1,0.004,35,0.138,4,0.016,16,0.063,47,0.185,2,7.6,8.1,1.5,47.5,10.0,105,4.03,0.971,0.952,0.01,ЖКХ,Магазины,Транспорт,54.7,26.3,45.6,48.1,61.5,77.5,52.4,76.5,56.8,B,2,-2.952472345927781,0.22669121020699945
Канавинский,56.316239,43.93688,196590,preset,district,Канавинский,3,0.015,8,0.041,1,0.005,8,0.041,22,0.112,41,0.209,2,0.01,14,0.071,3,0.015,1,0.005,0,0.0,6,0.031,0,0.0,41,0.209,19,0.097,4,0.02,17,0.086,40,0.203,6,0.031,31,0.158,43,0.219,2,7.6,8.1,1.5,52.4,36.5,344,3.96,0.945,0.93,0.041,Медицина,Освещение,Безопасность,70.8,38.7,82.8,49.2,79.5,60.1,76.7,5.0,54.3,B,3,1.526802644119697,-1.0383758061632549
Приокский,56.230703,43.942866,71112,preset,district,Приокский,3,0.042,10,0.141,4,0.056,1,0.014,16,0.225,5,0.07,3,0.042,7,0.098,0,0.0,0,0.0,0,0.0,3,0.042,0,0.0,10,0.141,13,0.183,7,0.098,2,0.028,18,0.253,4,0.056,19,0.267,24,0.337,2,7.6,8.1,1.5,50.1,16.6,130,4.05,0.965,0.946,0.015,Медицина,Освещение,Магазины,68.3,23.3,77.1,50.8,64.5,5.0,54.1,68.3,53.8,B,1,-1.676444504260841,-1.6860117312258265
Автозаводский,56.233799,43.827806,149183,preset_missing,district,Автозаводский,0,0.0,11,0.074,0,0.0,2,0.013,10,0.067,6,0.04,0,0.0,4,0.027,3,0.02,0,0.0,0,0.0,3,0.02,0,0.0,11,0.074,21,0.141,5,0.034,2,0.013,35,0.235,7,0.047,23,0.154,54,0.362,2,7.6,8.1,1.5,44.6,23.2,120,4.05,0.946,0.917,0.025,Освещение,Магазины,Транспорт,62.9,39.0,53.3,54.7,72.1,50.1,55.3,24.3,50.4,C,1,-0.8532734027536352,-1.2708291064848312
