district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000,air_quality_index,pm2_5,pm10,no2,noise_level_db,green_coverage_pct,review_count,avg_rating,avg_sentiment,positive_share,negative_share,top_problem_1,top_problem_2,top_problem_3,infrastructure_score,education_score,healthcare_score,transport_score,ecology_score,safety_score,leisure_score,social_score,total_index,grade,cluster,pca_1,pca_2
Кировский,42.9749,47.4947,96608,preset_missing,district,Кировский,14,0.145,40,0.414,12,0.124,36,0.373,35,0.362,117,1.211,58,0.6,19,0.197,3,0.031,1,0.01,2,0.021,16,0.166,0,0.0,74,0.766,18,0.186,19,0.197,19,0.197,6,0.062,25,0.259,19,0.197,59,0.611,2,2.3,3.9,0.2,52.3,24.0,302,3.98,0.93,0.891,0.03,Медицина,Магазины,ЖКХ,76.9,47.6,100.0,69.3,94.8,93.8,83.1,88.0,81.6,A,1,3.9117225822215307,0.04089173882846815
Ленинский,42.910212,47.55718,15296,preset,district,Ленинский,0,0.0,0,0.0,0,0.0,0,0.0,1,0.065,1,0.065,1,0.065,0,0.0,0,0.0,0,0.0,0,0.0,1,0.065,1,0.065,7,0.458,3,0.196,0,0.0,0,0.0,1,0.065,1,0.065,3,0.196,2,0.131,2,2.3,3.9,0.2,42.6,6.0,10,3.1,0.8,0.6,0.0,Магазины,Транспорт,Озеленение,41.3,20.4,20.4,22.2,7.3,43.4,24.1,54.6,31.1,D,0,-1.785069445343453,-0.7228673059426699
Советский,42.945449,47.471393,3000,preset,district,Советский,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.3,3.9,0.2,37.8,16.0,9,1.44,0.5,0.0,0.0,Магазины,Транспорт,Озеленение,24.4,20.4,18.3,17.5,45.8,33.7,19.6,48.2,29.7,D,0,-2.1266531368780774,0.6819755671142012
