district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000,air_quality_index,pm2_5,pm10,no2,noise_level_db,green_coverage_pct,review_count,avg_rating,avg_sentiment,positive_share,negative_share,top_problem_1,top_problem_2,top_problem_3,infrastructure_score,education_score,healthcare_score,transport_score,ecology_score,safety_score,leisure_score,social_score,total_index,grade,cluster,pca_1,pca_2
Советский,54.73609,55.993477,187790,preset,district,Советский,13,0.069,20,0.107,5,0.027,7,0.037,37,0.197,34,0.181,9,0.048,25,0.133,7,0.037,1,0.005,1,0.005,9,0.048,0,0.0,38,0.202,23,0.122,4,0.021,8,0.043,34,0.181,4,0.021,24,0.128,42,0.224,3,11.8,12.9,0.4,45.7,36.0,489,3.96,0.943,0.93,0.045,Озеленение,ЖКХ,Медицина,71.7,50.3,98.9,64.1,78.5,93.2,79.2,88.6,77.9,A,2,4.862756842546864,1.3051883106207178
Дёмский,54.699747,55.82627,232376,preset,district,Дёмский,9,0.039,12,0.052,0,0.0,1,0.004,30,0.129,2,0.009,2,0.009,10,0.043,4,0.017,0,0.0,0,0.0,5,0.022,3,0.013,31,0.133,19,0.082,1,0.004,2,0.009,22,0.095,2,0.009,15,0.065,38,0.164,3,11.8,12.9,0.4,54.5,22.0,196,4.05,0.977,0.954,0.0,Медицина,ЖКХ,Освещение,70.2,43.9,50.5,63.4,56.2,94.5,45.7,92.3,66.9,B,1,2.822155649639805,-1.685872604732522
Кировский,54.627149,55.926321,143536,preset_missing,district,Кировский,0,0.0,1,0.007,0,0.0,0,0.0,6,0.042,5,0.035,1,0.007,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0.056,8,0.056,1,0.007,0,0.0,0,0.0,1,0.007,2,0.014,4,0.028,3,11.8,12.9,0.4,49.1,18.0,48,3.88,0.958,0.917,0.0,Магазины,Транспорт,Озеленение,38.8,20.5,35.7,25.3,54.1,52.2,26.9,88.3,45.5,C,0,-0.5758154770020892,-1.143823210296459
Октябрьский,54.622126,56.088389,142542,preset_missing,district,Октябрьский,0,0.0,0,0.0,0,0.0,0,0.0,5,0.035,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.014,0,0.0,2,0.014,5,0.035,0,0.0,0,0.0,0,0.0,0,0.0,2,0.014,0,0.0,3,11.8,12.9,0.7,36.7,26.0,30,3.5,0.9,0.8,0.0,Магазины,Транспорт,Озеленение,40.6,20.4,32.6,17.5,65.5,35.5,19.6,69.9,40.0,C,3,-1.1543735386311749,0.4611451228956288
Ленинский,54.765777,55.907544,142210,preset,district,Ленинский,0,0.0,0,0.0,0,0.0,0,0.0,1,0.007,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.014,2,0.014,3,0.021,4,0.028,3,11.8,12.9,0.4,36.0,30.0,20,3.25,0.825,0.65,0.0,Магазины,Транспорт,Озеленение,24.5,20.4,20.4,25.3,67.0,37.4,26.3,60.4,36.8,D,3,-1.467021311407235,0.8649812906533161
Орджоникидзевский,54.866572,56.104292,150498,preset_missing,district,Орджоникидзевский,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.02,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.013,3,12.4,13.6,0.6,47.2,14.0,9,1.67,0.556,0.111,0.0,Магазины,Транспорт,Озеленение,24.4,20.4,18.3,20.8,53.8,35.3,21.9,49.3,31.7,D,3,-2.2417442687089357,-0.1932556798660695
Калининский,54.765518,56.173584,145857,preset_missing,district,Калининский,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,11.8,12.9,0.7,38.7,10.0,9,1.44,0.5,0.0,0.0,Магазины,Транспорт,Озеленение,24.4,20.4,18.3,17.5,59.4,33.7,19.6,48.2,31.3,D,3,-2.2459578964372358,0.3916367707253873
