district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000,air_quality_index,pm2_5,pm10,no2,noise_level_db,green_coverage_pct,review_count,avg_rating,avg_sentiment,positive_share,negative_share,top_problem_1,top_problem_2,top_problem_3,infrastructure_score,education_score,healthcare_score,transport_score,ecology_score,safety_score,leisure_score,social_score,total_index,grade,cluster,pca_1,pca_2
Ленинский,53.203024,50.11449,138772,preset,district,Ленинский,15,0.108,9,0.065,3,0.022,21,0.151,32,0.231,43,0.31,25,0.18,28,0.202,3,0.022,0,0.0,4,0.029,11,0.079,0,0.0,20,0.144,36,0.259,3,0.022,30,0.216,30,0.216,8,0.058,23,0.166,10,0.072,3,8.3,9.2,0.4,46.0,59.1,495,3.97,0.949,0.925,0.026,Медицина,Детская инфраструктура,Освещение,71.7,40.5,98.4,43.5,83.7,93.3,85.7,89.4,75.2,A,2,2.303559830671242,0.5891740282549834
Самарский,53.18449,50.090317,241871,preset,district,Самарский,9,0.037,3,0.012,3,0.012,6,0.025,19,0.079,44,0.182,37,0.153,8,0.033,1,0.004,1,0.004,7,0.029,5,0.021,1,0.004,8,0.033,22,0.091,4,0.017,13,0.054,10,0.041,4,0.017,9,0.037,13,0.054,3,8.3,9.2,0.4,51.8,33.6,412,3.97,0.951,0.927,0.024,Медицина,Освещение,ЖКХ,68.9,25.9,96.4,51.0,74.2,89.1,86.0,89.6,72.8,A,2,1.4945301474046788,1.8898941924342172
Советский,53.203485,50.217373,135934,preset,district,Советский,18,0.132,25,0.184,5,0.037,10,0.074,32,0.235,15,0.11,10,0.074,15,0.11,1,0.007,1,0.007,0,0.0,10,0.074,0,0.0,36,0.265,42,0.309,4,0.029,7,0.051,31,0.228,9,0.066,23,0.169,2,0.015,3,8.0,8.8,0.5,46.5,51.2,401,4.03,0.978,0.963,0.007,Медицина,Озеленение,ЖКХ,72.4,30.2,99.8,20.9,81.6,92.9,77.2,92.2,70.4,A,0,1.527700561453701,-0.08377880849919447
Железнодорожный,53.189222,50.135476,161202,preset,district,Железнодорожный,13,0.081,17,0.105,7,0.043,14,0.087,27,0.167,14,0.087,6,0.037,13,0.081,3,0.019,0,0.0,1,0.006,9,0.056,0,0.0,28,0.174,41,0.254,7,0.043,14,0.087,30,0.186,12,0.074,23,0.143,2,0.012,3,8.3,9.2,0.4,54.4,27.7,459,3.98,0.952,0.939,0.035,Медицина,Магазины,ЖКХ,71.2,40.7,100.0,20.8,69.9,89.8,77.5,89.6,69.1,A,0,1.2624740372405605,-0.6561551979548956
Октябрьский,53.222935,50.17091,143636,preset,district,Октябрьский,5,0.035,13,0.091,6,0.042,5,0.035,29,0.202,28,0.195,9,0.063,9,0.063,4,0.028,1,0.007,0,0.0,5,0.035,0,0.0,13,0.091,28,0.195,7,0.049,6,0.042,23,0.16,16,0.111,24,0.167,3,0.021,3,8.1,8.9,0.5,48.4,39.4,600,3.8,0.881,0.868,0.107,Магазины,Медицина,Озеленение,70.5,44.5,96.3,22.9,77.2,85.2,77.1,82.2,68.4,A,0,1.3551042596821885,-1.0199610775543713
Промышленный,53.228669,50.200529,110261,preset,district,Промышленный,12,0.109,24,0.218,5,0.045,8,0.073,42,0.381,22,0.2,10,0.091,14,0.127,5,0.045,2,0.018,0,0.0,8,0.073,0,0.0,42,0.381,38,0.345,7,0.063,4,0.036,41,0.372,11,0.1,47,0.426,2,0.018,3,8.0,8.8,0.5,49.2,45.3,782,3.63,0.801,0.792,0.189,Медицина,Магазины,Озеленение,74.4,50.7,99.4,20.9,74.7,86.7,79.9,74.2,68.3,A,0,1.4523113588398238,-1.738770039459989
Куйбышевский,53.117152,50.076497,91208,preset,district,Куйбышевский,10,0.11,13,0.143,1,0.011,3,0.033,9,0.099,0,0.0,0,0.0,2,0.022,0,0.0,0,0.0,0,0.0,5,0.055,0,0.0,4,0.044,10,0.11,0,0.0,5,0.055,2,0.022,0,0.0,11,0.121,7,0.077,3,8.3,9.2,0.4,51.0,15.9,78,4.03,0.962,0.923,0.0,Медицина,ЖКХ,Магазины,56.8,24.4,68.3,34.3,65.5,66.5,33.4,91.1,57.2,B,3,-1.023158255226424,1.291613414987413
Кировский,53.247548,50.306676,118233,preset_missing,district,Кировский,2,0.017,2,0.017,2,0.017,0,0.0,2,0.017,2,0.017,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.008,0,0.0,6,0.051,3,0.025,0,0.0,1,0.008,0,0.0,0,0.0,1,0.008,0,0.0,3,8.0,8.8,0.5,52.4,6.0,44,3.89,0.943,0.886,0.0,Медицина,Магазины,Транспорт,37.8,20.9,44.2,17.5,50.7,45.4,23.2,84.1,42.9,C,3,-3.445456004104218,0.44771371059581366
Красноглинский,53.407839,50.156058,13107,preset_missing,district,Красноглинский,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.076,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,8.3,9.2,0.6,46.5,21.8,9,1.56,0.444,0.0,0.111,Магазины,Транспорт,Озеленение,25.6,20.4,18.3,17.5,59.4,29.6,19.6,47.4,30.9,D,1,-4.927065935961552,-0.7197302228039786
