district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000
Верх-Исетский,56.798646,60.108381,177861,preset,district,Верх-Исетский,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Железнодорожный,56.8804,60.5549,278104,preset,district,Железнодорожный,5,0.018,13,0.047,1,0.004,5,0.018,17,0.061,4,0.014,0,0.0,3,0.011,0,0.0,0,0.0,0,0.0,5,0.018,0,0.0,9,0.032,16,0.058,0,0.0,1,0.004,27,0.097,1,0.004,8,0.029,17,0.061
Кировский,56.8431,60.6737,156629,preset,district,Кировский,11,0.07,20,0.128,1,0.006,9,0.057,28,0.179,26,0.166,8,0.051,9,0.057,3,0.019,0,0.0,3,0.019,8,0.051,0,0.0,33,0.211,20,0.128,2,0.013,28,0.179,72,0.46,20,0.128,61,0.389,40,0.255
Ленинский,56.8266,60.5989,312214,preset,district,Ленинский,13,0.042,17,0.054,2,0.006,28,0.09,59,0.189,140,0.448,85,0.272,70,0.224,11,0.035,3,0.01,6,0.019,20,0.064,3,0.01,47,0.151,35,0.112,20,0.064,27,0.086,70,0.224,25,0.08,48,0.154,60,0.192
Академический,56.7891,60.5235,80751,preset,district,Академический,7,0.087,29,0.359,1,0.012,10,0.124,47,0.582,28,0.347,11,0.136,6,0.074,0,0.0,1,0.012,1,0.012,9,0.111,0,0.0,25,0.31,51,0.632,1,0.012,2,0.025,147,1.82,21,0.26,79,0.978,39,0.483
Октябрьский,56.8297,60.6688,167419,preset,district,Октябрьский,17,0.102,23,0.137,2,0.012,5,0.03,30,0.179,17,0.102,4,0.024,7,0.042,2,0.012,1,0.006,1,0.006,6,0.036,2,0.012,38,0.227,27,0.161,4,0.024,16,0.096,90,0.538,19,0.113,63,0.376,47,0.281
Орджоникидзевский,56.896,60.6133,255479,preset,district,Орджоникидзевский,27,0.106,61,0.239,4,0.016,11,0.043,70,0.274,19,0.074,10,0.039,27,0.106,5,0.02,2,0.008,1,0.004,17,0.067,1,0.004,58,0.227,51,0.2,5,0.02,22,0.086,161,0.63,11,0.043,48,0.188,48,0.188
Чкаловский,56.7607,60.6465,40376,preset,district,Чкаловский,1,0.025,0,0.0,0,0.0,0,0.0,0,0.0,1,0.025,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.025,2,0.05,2,0.05,4,0.099,5,0.124
