district,review_count,avg_rating,avg_sentiment,positive_share,negative_share,top_problem_1,top_problem_2,top_problem_3
Верх-Исетский,9,1.44,0.5,0.0,0.0,Магазины,Транспорт,Озеленение
Железнодорожный,118,4.08,0.975,0.949,0.0,Медицина,Магазины,Озеленение
Кировский,292,4.03,0.954,0.921,0.014,Медицина,Транспорт,ЖКХ
Ленинский,1179,3.94,0.936,0.922,0.051,Медицина,Озеленение,ЖКХ
Академический,407,4.02,0.958,0.926,0.01,Медицина,ЖКХ,Озеленение
Октябрьский,333,3.99,0.947,0.928,0.033,Медицина,Магазины,ЖКХ
Орджоникидзевский,555,3.97,0.939,0.923,0.045,Медицина,ЖКХ,Магазины
Чкаловский,18,3.5,0.889,0.778,0.0,Магазины,Транспорт,Озеленение
