district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000
Левобережный,52.560416,39.644035,41336,preset,district,Левобережный,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Октябрьский,52.557323,39.521188,35553,preset,district,Октябрьский,0,0.0,0,0.0,1,0.028,0,0.0,0,0.0,2,0.056,1,0.028,0,0.0,0,0.0,0,0.0,0,0.0,1,0.028,0,0.0,5,0.141,1,0.028,0,0.0,0,0.0,3,0.084,0,0.0,0,0.0,17,0.478
Советский,52.590904,39.467484,161171,preset,district,Советский,3,0.019,3,0.019,1,0.006,3,0.019,4,0.025,3,0.019,0,0.0,1,0.006,1,0.006,0,0.0,0,0.0,1,0.006,0,0.0,1,0.006,10,0.062,0,0.0,0,0.0,22,0.137,0,0.0,5,0.031,20,0.124
Правобережный,52.65493,39.732495,244980,preset_missing,district,Правобережный,0,0.0,1,0.004,0,0.0,0,0.0,2,0.008,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.008,4,0.016,0,0.0,0,0.0,0,0.0,0,0.0,4,0.016,4,0.016
