district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000
Волжский,51.532937,46.032003,156499,preset,district,Волжский,16,0.102,21,0.134,10,0.064,10,0.064,57,0.364,117,0.748,52,0.332,48,0.307,9,0.058,3,0.019,8,0.051,9,0.058,4,0.026,35,0.224,43,0.275,9,0.058,13,0.083,43,0.275,14,0.089,15,0.096,114,0.728
Кировский,51.585678,46.039664,109672,preset,district,Кировский,0,0.0,0,0.0,0,0.0,0,0.0,1,0.009,2,0.018,0,0.0,0,0.0,1,0.009,0,0.0,0,0.0,1,0.009,0,0.0,2,0.018,1,0.009,0,0.0,1,0.009,1,0.009,1,0.009,6,0.055,23,0.21
Ленинский,51.612897,45.927178,68328,preset,district,Ленинский,1,0.015,2,0.029,1,0.015,0,0.0,1,0.015,2,0.029,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,0.088,1,0.015,0,0.0,0,0.0,3,0.044,0,0.0,0,0.0,11,0.161
Октябрьский,51.523667,45.986801,98823,preset,district,Октябрьский,1,0.01,7,0.071,5,0.051,1,0.01,23,0.233,13,0.132,0,0.0,7,0.071,6,0.061,0,0.0,0,0.0,6,0.061,0,0.0,27,0.273,24,0.243,3,0.03,10,0.101,31,0.314,6,0.061,30,0.304,73,0.739
Заводской,51.469403,45.945687,140916,preset_missing,district,Заводской,1,0.007,1,0.007,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.028,2,0.014,0,0.0,2,0.014,1,0.007,0,0.0,4,0.028,19,0.135
Фрунзенский,51.532937,46.032003,263804,preset_missing,district,Фрунзенский,16,0.061,21,0.08,10,0.038,10,0.038,57,0.216,117,0.444,52,0.197,48,0.182,9,0.034,3,0.011,8,0.03,9,0.034,4,0.015,35,0.133,43,0.163,9,0.034,13,0.049,43,0.163,14,0.053,15,0.057,114,0.432
