district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000,air_quality_index,pm2_5,pm10,no2,noise_level_db,green_coverage_pct,review_count,avg_rating,avg_sentiment,positive_share,negative_share,top_problem_1,top_problem_2,top_problem_3,infrastructure_score,education_score,healthcare_score,transport_score,ecology_score,safety_score,leisure_score,social_score,total_index,grade,cluster,pca_1,pca_2
Ленинский,53.194287,44.97875,95699,preset,district,Ленинский,12,0.125,14,0.146,1,0.01,6,0.063,20,0.209,10,0.104,3,0.031,10,0.104,2,0.021,0,0.0,0,0.0,7,0.073,3,0.031,32,0.334,10,0.104,6,0.063,11,0.115,64,0.669,3,0.031,27,0.282,42,0.439,3,8.6,9.6,0.7,45.3,30.1,229,4.03,0.937,0.917,0.044,Медицина,Безопасность,Магазины,72.3,35.8,81.4,66.9,78.9,92.9,64.3,88.6,73.7,A,2,4.0897718601908215,-0.7103980889057748
Железнодорожный,53.201907,45.060635,309589,preset,district,Железнодорожный,2,0.006,2,0.006,0,0.0,0,0.0,2,0.006,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.003,1,0.003,6,0.019,9,0.029,2,0.006,3,0.01,34,0.11,0,0.0,6,0.019,26,0.084,3,8.3,9.2,0.7,51.5,22.1,34,4.0,0.868,0.765,0.029,Магазины,Транспорт,Озеленение,43.4,20.6,23.0,61.9,63.3,80.9,40.8,72.8,53.0,B,0,0.003638844155903935,1.028371722843101
Первомайский,53.148627,44.988637,41345,preset,district,Первомайский,1,0.024,1,0.024,0,0.0,0,0.0,1,0.024,1,0.024,1,0.024,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,0.145,2,0.048,0,0.0,2,0.048,3,0.073,1,0.024,1,0.024,13,0.314,3,8.6,9.6,0.7,50.2,16.0,37,3.95,0.973,0.946,0.0,Магазины,Транспорт,Озеленение,32.8,21.1,20.4,54.1,59.1,58.3,31.7,80.6,47.8,C,0,-0.985248285314782,0.9012660001039435
Октябрьский,53.250252,44.93379,41345,preset,district,Октябрьский,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.024,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.097,3,8.6,9.4,0.8,39.0,6.0,8,1.62,0.5,0.0,0.0,Магазины,Транспорт,Озеленение,24.4,20.4,18.3,26.1,59.5,35.7,20.2,48.6,32.9,D,1,-3.1081624190319443,-1.2192396340412688
