district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000
Центральный,43.5855,39.7231,114879,preset,district,Центральный,11,0.096,6,0.052,0,0.0,10,0.087,51,0.444,200,1.741,63,0.548,48,0.418,3,0.026,1,0.009,3,0.026,15,0.131,0,0.0,60,0.522,19,0.165,23,0.2,36,0.313,43,0.374,3,0.026,29,0.252,49,0.427
Адлерский,43.634657,40.188622,74105,preset,district,Адлерский,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Хостинский,43.5538,39.8447,6287,preset,district,Хостинский,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.477,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Сириус,43.406709,39.965423,74910,preset,district,Сириус,4,0.053,4,0.053,0,0.0,5,0.067,9,0.12,49,0.654,22,0.294,0,0.0,1,0.013,0,0.0,4,0.053,3,0.04,0,0.0,23,0.307,5,0.067,1,0.013,3,0.04,29,0.387,3,0.04,30,0.4,51,0.681
Лазаревский,43.884266,39.618545,174968,preset_missing,district,Лазаревский,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
