district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000
Железнодорожный,54.584647,39.69038,33635,preset,district,Железнодорожный,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,2,0.059,2,0.059,0,0.0,0,0.0,1,0.03,0,0.0,1,0.03,6,0.178
Московский,54.658449,39.620999,206820,preset,district,Московский,3,0.015,3,0.015,1,0.005,0,0.0,3,0.015,3,0.015,1,0.005,0,0.0,1,0.005,0,0.0,0,0.0,1,0.005,0,0.0,3,0.015,5,0.024,3,0.015,6,0.029,2,0.01,0,0.0,3,0.015,25,0.121
Октябрьский,54.575557,39.798241,204196,preset,district,Октябрьский,1,0.005,2,0.01,1,0.005,1,0.005,2,0.01,0,0.0,0,0.0,1,0.005,0,0.0,0,0.0,0,0.0,1,0.005,0,0.0,5,0.024,1,0.005,1,0.005,0,0.0,1,0.005,0,0.0,3,0.015,21,0.103
Советский,54.714175,39.847973,74665,preset,district,Советский,1,0.013,1,0.013,0,0.0,0,0.0,1,0.013,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.054,1,0.013,0,0.0,0,0.0,0,0.0,0,0.0,3,0.04,8,0.107
