district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000,air_quality_index,pm2_5,pm10,no2,noise_level_db,green_coverage_pct,review_count,avg_rating,avg_sentiment,positive_share,negative_share,top_problem_1,top_problem_2,top_problem_3,infrastructure_score,education_score,healthcare_score,transport_score,ecology_score,safety_score,leisure_score,social_score,total_index,grade,cluster,pca_1,pca_2
Ленинский,57.645953,39.871038,81870,preset,district,Ленинский,7,0.086,13,0.159,14,0.171,22,0.269,19,0.232,16,0.195,3,0.037,16,0.195,2,0.024,1,0.012,0,0.0,3,0.037,7,0.086,7,0.086,13,0.159,7,0.086,28,0.342,10,0.122,4,0.049,5,0.061,39,0.476,2,19.5,23.4,21.6,51.8,19.6,176,3.98,0.935,0.903,0.034,Медицина,Магазины,Транспорт,69.0,95.0,99.9,90.5,66.5,92.2,71.7,88.3,83.7,A,2,2.998427614425017,-0.7845875601992579
Дзержинский,57.691009,39.786888,121610,preset,district,Дзержинский,16,0.132,32,0.263,4,0.033,4,0.033,44,0.362,15,0.123,7,0.058,17,0.14,1,0.008,0,0.0,0,0.0,10,0.082,0,0.0,42,0.345,50,0.411,27,0.222,9,0.074,55,0.452,11,0.09,22,0.181,48,0.395,2,19.9,24.1,21.8,44.9,36.1,369,3.89,0.915,0.905,0.076,Медицина,Магазины,Озеленение,74.1,74.8,93.0,79.5,78.0,91.9,72.2,85.7,81.0,A,2,3.0910905035039193,-0.6422754105060898
Кировский,57.632123,39.810727,123565,preset,district,Кировский,3,0.024,13,0.105,2,0.016,0,0.0,11,0.089,5,0.04,0,0.0,2,0.016,0,0.0,0,0.0,0,0.0,4,0.032,1,0.008,12,0.097,11,0.089,0,0.0,6,0.049,8,0.065,2,0.016,4,0.032,29,0.235,2,19.5,23.4,21.6,52.6,14.8,58,4.12,0.957,0.914,0.0,Магазины,Транспорт,Озеленение,58.7,23.3,65.3,56.5,62.2,89.6,50.8,91.3,64.1,B,0,0.48161077114899054,0.9433681830127097
Красноперекопский,57.579439,39.818346,43215,preset,district,Красноперекопский,4,0.093,5,0.116,0,0.0,0,0.0,10,0.231,4,0.093,1,0.023,1,0.023,0,0.0,0,0.0,0,0.0,2,0.046,0,0.0,13,0.301,9,0.208,0,0.0,1,0.023,6,0.139,1,0.023,7,0.162,17,0.393,2,21.8,26.2,30.5,47.9,29.3,126,4.06,0.933,0.913,0.048,ЖКХ,Медицина,Магазины,53.6,30.5,43.2,31.5,59.0,80.7,36.0,88.5,54.8,B,3,-0.9347890254598321,0.7210443526039295
Фрунзенский,57.573082,39.896295,79698,preset,district,Фрунзенский,1,0.013,3,0.038,0,0.0,0,0.0,6,0.075,1,0.013,0,0.0,1,0.013,0,0.0,0,0.0,0,0.0,3,0.038,0,0.0,4,0.05,6,0.075,0,0.0,0,0.0,27,0.339,6,0.075,9,0.113,19,0.238,2,21.8,26.2,30.5,44.7,24.5,56,4.02,0.964,0.929,0.0,Магазины,Транспорт,Озеленение,49.2,16.7,35.7,29.5,57.7,78.0,45.0,91.2,52.7,C,3,-1.198936862387003,1.0818224417325581
Заволжский,57.662616,39.91367,117484,preset,district,Заволжский,0,0.0,1,0.009,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.009,0,0.0,2,0.017,3,0.026,0,0.0,0,0.0,2,0.017,0,0.0,1,0.009,17,0.145,2,19.5,23.4,21.6,51.4,10.0,20,3.6,0.875,0.75,0.0,Магазины,Транспорт,Озеленение,33.7,13.3,18.3,5.0,47.9,55.2,21.8,62.7,33.7,D,1,-4.437403001231094,-1.3193720066438497
