district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000,air_quality_index,pm2_5,pm10,no2,noise_level_db,green_coverage_pct,review_count,avg_rating,avg_sentiment,positive_share,negative_share,top_problem_1,top_problem_2,top_problem_3,infrastructure_score,education_score,healthcare_score,transport_score,ecology_score,safety_score,leisure_score,social_score,total_index,grade,cluster,pca_1,pca_2
Кировский,52.287185,104.285015,232238,preset,district,Кировский,5,0.022,10,0.043,10,0.043,12,0.052,14,0.06,117,0.504,65,0.28,20,0.086,6,0.026,2,0.009,8,0.034,9,0.039,0,0.0,12,0.052,15,0.065,22,0.095,94,0.405,12,0.052,4,0.017,9,0.039,60,0.258,2,0.6,0.6,0.7,48.6,42.1,723,3.94,0.942,0.924,0.04,Медицина,Магазины,Озеленение,69.7,47.8,99.4,64.6,84.3,93.1,92.1,88.5,79.4,A,2,2.875482794015365,1.608752932378337
Свердловский,52.254178,104.254854,98717,preset,district,Свердловский,5,0.051,16,0.162,1,0.01,5,0.051,10,0.101,10,0.101,8,0.081,5,0.051,3,0.03,0,0.0,0,0.0,7,0.071,0,0.0,9,0.091,14,0.142,3,0.03,11,0.111,47,0.476,5,0.051,25,0.253,33,0.334,2,0.6,0.6,0.7,48.7,34.1,161,4.04,0.966,0.938,0.006,Медицина,Транспорт,Магазины,67.4,41.2,76.9,65.4,82.1,90.8,69.6,91.4,74.1,A,2,1.8779558534760263,0.68837923737409
Октябрьский,52.253677,104.337516,64546,preset,district,Октябрьский,4,0.062,12,0.186,0,0.0,3,0.046,6,0.093,13,0.201,6,0.093,6,0.093,0,0.0,0,0.0,0,0.0,6,0.093,1,0.015,16,0.248,8,0.124,2,0.031,4,0.062,11,0.17,6,0.093,7,0.108,48,0.744,2,0.6,0.6,0.7,50.7,22.0,237,4.01,0.973,0.958,0.013,Медицина,Освещение,Шум,69.2,24.4,51.4,71.2,71.4,93.3,66.1,91.6,69.6,A,0,0.6571284683242868,-1.3418985769738392
Куйбышевский,52.259175,104.357815,102830,preset,district,Куйбышевский,4,0.039,10,0.097,0,0.0,2,0.019,5,0.049,14,0.136,8,0.078,7,0.068,0,0.0,0,0.0,0,0.0,6,0.058,1,0.01,15,0.146,4,0.039,3,0.029,4,0.039,9,0.088,7,0.068,7,0.068,40,0.389,2,0.6,0.6,0.7,50.8,28.1,174,4.03,0.977,0.96,0.006,Медицина,Шум,Магазины,69.0,22.5,42.7,66.2,73.7,92.6,65.9,92.1,68.1,A,0,0.49518989362576327,-1.3535269495230033
Ленинский,52.3078,104.2864,92547,preset_missing,district,Ленинский,1,0.011,1,0.011,2,0.022,1,0.011,4,0.043,4,0.043,2,0.022,0,0.0,0,0.0,0,0.0,0,0.0,2,0.022,0,0.0,1,0.011,4,0.043,6,0.065,5,0.054,2,0.022,0,0.0,4,0.043,17,0.184,2,0.6,0.6,0.7,47.6,16.0,105,4.04,0.981,0.962,0.0,Магазины,Медицина,Транспорт,48.6,20.8,55.0,58.9,73.7,58.5,38.7,92.6,58.9,B,3,-1.0372586216417745,-0.6336183991114109
Правобережный,52.317383,104.368207,14831,preset,district,Правобережный,2,0.135,1,0.067,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.067,1,0.067,3,0.202,2,0.135,2,0.6,0.6,0.7,40.1,6.0,9,2.11,0.611,0.222,0.0,Магазины,Транспорт,Озеленение,24.4,23.6,18.3,22.2,64.5,38.4,22.6,50.5,34.1,D,1,-4.868498387799669,1.0319117558558262
