district,review_count,avg_rating,avg_sentiment,positive_share,negative_share,top_problem_1,top_problem_2,top_problem_3
Ленинский,14,3.14,0.786,0.643,0.071,Магазины,Транспорт,Озеленение
Первомайский,52,4.04,0.952,0.904,0.0,Медицина,Магазины,Транспорт
Первореченский,92,4.03,0.962,0.935,0.011,Медицина,ЖКХ,Шум
Советский,14,3.79,0.857,0.714,0.0,Магазины,Транспорт,Озеленение
Фрунзенский,9,1.44,0.5,0.0,0.0,Магазины,Транспорт,Озеленение
Островные территории,9,1.44,0.5,0.0,0.0,Магазины,Транспорт,Озеленение
