district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000
Ленинский,43.123676,131.98347,25126,preset,district,Ленинский,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,1,0.04,4,0.159,0,0.0,4,0.159,2,0.08
Первомайский,43.082588,131.947365,134004,preset,district,Первомайский,1,0.007,4,0.03,1,0.007,0,0.0,6,0.045,2,0.015,1,0.007,0,0.0,0,0.0,0,0.0,0,0.0,2,0.015,0,0.0,34,0.254,5,0.037,2,0.015,0,0.0,75,0.56,1,0.007,22,0.164,26,0.194
Первореченский,43.151153,131.947479,212798,preset,district,Первореченский,0,0.0,1,0.005,1,0.005,0,0.0,1,0.005,13,0.061,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.009,0,0.0,8,0.038,3,0.014,1,0.005,0,0.0,43,0.202,0,0.0,16,0.075,24,0.113
Советский,43.231874,132.036069,97287,preset,district,Советский,0,0.0,1,0.01,0,0.0,0,0.0,1,0.01,2,0.021,1,0.01,0,0.0,0,0.0,0,0.0,0,0.0,1,0.01,0,0.0,7,0.072,0,0.0,0,0.0,0,0.0,18,0.185,1,0.01,3,0.031,9,0.093
Фрунзенский,43.180638,131.744779,97287,preset,district,Фрунзенский,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Островные территории,42.995,131.815,25126,preset,district,Островные территории,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
