district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000,air_quality_index,pm2_5,pm10,no2,noise_level_db,green_coverage_pct,review_count,avg_rating,avg_sentiment,positive_share,negative_share,top_problem_1,top_problem_2,top_problem_3,infrastructure_score,education_score,healthcare_score,transport_score,ecology_score,safety_score,leisure_score,social_score,total_index,grade,cluster,pca_1,pca_2
Железнодорожный,56.014394,92.830566,237231,preset,district,Железнодорожный,12,0.051,15,0.063,4,0.017,9,0.038,17,0.072,14,0.059,15,0.063,19,0.08,2,0.008,0,0.0,1,0.004,9,0.038,0,0.0,30,0.126,31,0.131,3,0.013,14,0.059,88,0.371,6,0.025,49,0.207,61,0.257,3,0.5,0.5,0.5,55.7,21.5,568,3.8,0.816,0.803,0.171,Медицина,ЖКХ,Озеленение,70.2,95.0,99.2,64.5,66.3,88.1,76.6,76.6,77.8,A,2,2.7375879834249988,-2.2614745500302544
Центральный,56.043362,92.86691,199157,preset,district,Центральный,4,0.02,10,0.05,2,0.01,4,0.02,6,0.03,6,0.03,2,0.01,0,0.0,1,0.005,1,0.005,0,0.0,4,0.02,1,0.005,20,0.1,16,0.08,4,0.02,3,0.015,35,0.176,5,0.025,21,0.105,43,0.216,3,0.5,0.5,0.5,48.0,25.4,246,4.1,0.955,0.939,0.028,Медицина,Магазины,Транспорт,53.4,61.4,77.0,64.0,67.8,92.2,63.9,90.7,71.5,A,2,1.579436057586414,-0.42766990727792076
Советский,56.053533,92.98379,133050,preset,district,Советский,5,0.038,9,0.068,4,0.03,7,0.053,4,0.03,2,0.015,0,0.0,1,0.008,0,0.0,0,0.0,1,0.008,4,0.03,0,0.0,4,0.03,12,0.09,2,0.015,10,0.075,10,0.075,2,0.015,18,0.135,39,0.293,3,0.5,0.5,0.5,38.0,35.1,67,4.1,0.933,0.881,0.015,Медицина,ЖКХ,Магазины,55.2,26.0,82.0,65.0,85.2,87.8,55.6,89.2,69.4,A,0,1.3154914244862284,1.2697409941923388
Кировский,55.983758,92.968419,172798,preset,district,Кировский,4,0.023,9,0.052,1,0.006,3,0.017,1,0.006,0,0.0,0,0.0,1,0.006,0,0.0,1,0.006,0,0.0,2,0.012,0,0.0,3,0.017,9,0.052,1,0.006,5,0.029,15,0.087,2,0.012,14,0.081,36,0.208,3,0.5,0.5,0.5,48.2,10.0,108,4.1,0.958,0.917,0.0,ЖКХ,Безопасность,Магазины,49.2,22.6,46.7,63.9,65.9,85.8,53.9,91.2,62.2,B,3,0.17961305472621983,0.539681742922139
Октябрьский,56.020633,92.734847,72801,preset,district,Октябрьский,2,0.027,3,0.041,0,0.0,0,0.0,2,0.027,1,0.014,3,0.041,0,0.0,0,0.0,0,0.0,0,0.0,1,0.014,0,0.0,4,0.055,8,0.11,0,0.0,5,0.069,18,0.247,2,0.027,8,0.11,27,0.371,3,0.5,0.5,0.5,42.0,29.2,51,4.1,0.951,0.902,0.0,Медицина,Магазины,Транспорт,40.2,21.7,23.0,65.6,78.9,81.5,52.1,90.7,59.5,B,0,-0.27344783555560465,1.886546514991974
Ленинский,56.027482,93.025319,205014,preset,district,Ленинский,2,0.01,5,0.024,4,0.02,4,0.02,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.015,0,0.0,0,0.0,1,0.005,2,0.01,4,0.02,5,0.024,2,0.01,4,0.02,28,0.137,3,0.5,0.5,0.4,50.9,13.8,74,3.96,0.926,0.878,0.027,Медицина,Магазины,Транспорт,46.6,16.7,65.3,62.8,63.0,74.3,40.6,87.6,59.4,B,3,-0.5683373496825159,0.13875553658799974
Свердловский,55.959625,92.820965,72801,preset,district,Свердловский,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.014,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.014,0,0.0,1,0.014,0,0.0,0,0.0,0,0.0,1,0.014,1,0.014,1,0.014,11,0.151,3,0.5,0.5,0.5,37.9,17.7,6,2.0,0.417,0.0,0.167,Магазины,Транспорт,Озеленение,29.9,12.5,18.3,47.2,63.7,38.3,23.3,48.2,37.1,D,1,-4.970343334985739,-1.145580331386276
