district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000
Индустриальный,56.897637,53.264385,121809,preset,district,Индустриальный,2,0.016,2,0.016,3,0.025,8,0.066,0,0.0,3,0.025,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.008,0,0.0,2,0.016,2,0.016,0,0.0,1,0.008,21,0.172,0,0.0,5,0.041,24,0.197
Ленинский,56.860811,53.116695,157772,preset,district,Ленинский,2,0.013,4,0.025,1,0.006,0,0.0,1,0.006,1,0.006,0,0.0,0,0.0,1,0.006,0,0.0,0,0.0,1,0.006,0,0.0,2,0.013,3,0.019,0,0.0,1,0.006,0,0.0,0,0.0,2,0.013,6,0.038
Октябрьский,56.926045,53.155236,54379,preset,district,Октябрьский,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.037,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.074,0,0.0
Первомайский,56.807603,53.254964,54379,preset,district,Первомайский,1,0.018,1,0.018,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.037,0,0.0,0,0.0,0,0.0,3,0.055,0,0.0,2,0.037,2,0.037
Устиновский,56.876475,53.282932,227957,preset,district,Устиновский,8,0.035,24,0.105,4,0.018,2,0.009,25,0.11,8,0.035,1,0.004,6,0.026,1,0.004,1,0.004,1,0.004,5,0.022,1,0.004,29,0.127,28,0.123,6,0.026,1,0.004,98,0.43,5,0.022,24,0.105,37,0.162
