district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000
Коминтерновский,51.71991,39.146169,166666,preset,district,Коминтерновский,10,0.06,10,0.06,0,0.0,3,0.018,29,0.174,14,0.084,1,0.006,3,0.018,1,0.006,1,0.006,0,0.0,5,0.03,1,0.006,33,0.198,17,0.102,3,0.018,6,0.036,62,0.372,4,0.024,15,0.09,34,0.204
Левобережный,51.579858,39.264902,22385,preset,district,Левобережный,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.045,0,0.0,0,0.0,2,0.089
Ленинский,51.640752,39.183749,487104,preset,district,Ленинский,11,0.023,9,0.018,3,0.006,5,0.01,33,0.068,11,0.023,1,0.002,4,0.008,3,0.006,0,0.0,0,0.0,11,0.023,0,0.0,37,0.076,10,0.021,0,0.0,20,0.041,35,0.072,5,0.01,15,0.031,46,0.094
Советский,51.627819,39.114053,56829,preset,district,Советский,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Центральный,51.700872,39.21472,118433,preset,district,Центральный,6,0.051,9,0.076,3,0.025,3,0.025,18,0.152,9,0.076,2,0.017,4,0.034,2,0.017,0,0.0,1,0.008,7,0.059,0,0.0,23,0.194,7,0.059,1,0.008,9,0.076,33,0.279,4,0.034,14,0.118,22,0.186
Железнодорожный,51.766379,39.349005,190305,preset_missing,district,Железнодорожный,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.005,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
