district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000,air_quality_index,pm2_5,pm10,no2,noise_level_db,green_coverage_pct,review_count,avg_rating,avg_sentiment,positive_share,negative_share,top_problem_1,top_problem_2,top_problem_3,infrastructure_score,education_score,healthcare_score,transport_score,ecology_score,safety_score,leisure_score,social_score,total_index,grade,cluster,pca_1,pca_2
Ленинский,51.640752,39.183749,487104,preset,district,Ленинский,11,0.023,9,0.018,3,0.006,5,0.01,33,0.068,11,0.023,1,0.002,4,0.008,3,0.006,0,0.0,0,0.0,11,0.023,0,0.0,37,0.076,10,0.021,0,0.0,20,0.041,35,0.072,5,0.01,15,0.031,46,0.094,3,6.9,14.3,1.0,48.6,13.7,287,4.05,0.983,0.969,0.003,Медицина,Транспорт,Магазины,65.3,38.4,94.8,62.6,69.7,94.8,67.3,92.8,73.8,A,2,2.940748718568331,-0.880404509447411
Центральный,51.700872,39.21472,118433,preset,district,Центральный,6,0.051,9,0.076,3,0.025,3,0.025,18,0.152,9,0.076,2,0.017,4,0.034,2,0.017,0,0.0,1,0.008,7,0.059,0,0.0,23,0.194,7,0.059,1,0.008,9,0.076,33,0.279,4,0.034,14,0.118,22,0.186,3,6.8,13.9,0.9,44.1,30.3,144,4.02,0.944,0.91,0.021,Медицина,Магазины,Освещение,66.5,33.4,87.2,62.2,79.9,91.4,70.3,89.4,73.2,A,3,3.072159122791464,0.8677270615695619
Коминтерновский,51.71991,39.146169,166666,preset,district,Коминтерновский,10,0.06,10,0.06,0,0.0,3,0.018,29,0.174,14,0.084,1,0.006,3,0.018,1,0.006,1,0.006,0,0.0,5,0.03,1,0.006,33,0.198,17,0.102,3,0.018,6,0.036,62,0.372,4,0.024,15,0.09,34,0.204,3,6.9,14.3,1.0,51.0,24.6,210,4.05,0.979,0.957,0.0,Медицина,Магазины,Освещение,64.0,27.0,61.7,63.8,70.2,94.6,71.6,92.5,69.7,A,0,2.1141247557830725,-0.04407220333426079
Левобережный,51.579858,39.264902,22385,preset,district,Левобережный,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.045,0,0.0,0,0.0,2,0.089,3,5.3,13.2,0.5,39.1,21.0,15,2.67,0.733,0.467,0.0,Медицина,Магазины,Транспорт,24.4,20.4,18.3,21.7,65.0,35.3,20.6,54.6,34.0,D,1,-2.4713131569479683,0.32109680481571956
Советский,51.627819,39.114053,56829,preset,district,Советский,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,6.9,14.3,1.0,40.1,17.3,12,2.08,0.625,0.25,0.0,Магазины,Транспорт,Озеленение,24.4,20.4,18.3,17.5,63.5,33.7,19.6,50.9,32.3,D,1,-2.7138258593418856,0.14152167029212995
Железнодорожный,51.766379,39.349005,190305,preset_missing,district,Железнодорожный,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.005,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,6.8,13.9,0.9,37.4,6.0,8,1.38,0.5,0.0,0.0,Магазины,Транспорт,Озеленение,24.4,20.4,18.3,17.5,59.5,33.9,20.2,48.4,31.4,D,1,-2.9418935808530122,-0.40586882389574014
