district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000
Кировский,56.454275,84.980489,97119,preset,district,Кировский,11,0.113,18,0.185,4,0.041,12,0.124,29,0.299,53,0.546,8,0.082,17,0.175,4,0.041,0,0.0,0,0.0,7,0.072,1,0.01,21,0.216,41,0.422,12,0.124,20,0.206,87,0.896,14,0.144,36,0.371,53,0.546
Ленинский,56.484779,84.952038,243047,preset,district,Ленинский,13,0.053,8,0.033,21,0.086,7,0.029,31,0.128,63,0.259,30,0.123,26,0.107,7,0.029,1,0.004,4,0.016,9,0.037,5,0.021,15,0.062,14,0.058,12,0.049,24,0.099,33,0.136,14,0.058,27,0.111,43,0.177
Советский,56.473885,85.044661,48476,preset,district,Советский,1,0.021,5,0.103,1,0.021,0,0.0,3,0.062,5,0.103,1,0.021,2,0.041,1,0.021,0,0.0,0,0.0,1,0.021,0,0.0,3,0.062,2,0.041,0,0.0,3,0.062,9,0.186,1,0.021,9,0.186,15,0.309
Октябрьский,56.62052,85.044826,155923,preset_missing,district,Октябрьский,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
