district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000,air_quality_index,pm2_5,pm10,no2,noise_level_db,green_coverage_pct,review_count,avg_rating,avg_sentiment,positive_share,negative_share,top_problem_1,top_problem_2,top_problem_3,infrastructure_score,education_score,healthcare_score,transport_score,ecology_score,safety_score,leisure_score,social_score,total_index,grade,cluster,pca_1,pca_2
Центральный,55.355703,86.104649,85126,preset,district,Центральный,11,0.129,13,0.153,3,0.035,1,0.012,14,0.164,8,0.094,8,0.094,17,0.2,3,0.035,0,0.0,3,0.035,6,0.07,0,0.0,15,0.176,7,0.082,1,0.012,14,0.164,10,0.117,7,0.082,18,0.211,44,0.517,3,0.9,1.3,1.3,48.6,26.4,191,4.03,0.945,0.906,0.016,Магазины,Медицина,Детская инфраструктура,70.9,42.3,75.5,67.9,74.7,93.5,81.7,89.6,75.2,A,2,3.659093345698352,0.790032142443448
Ленинский,55.336336,86.168221,106479,preset,district,Ленинский,15,0.141,22,0.207,12,0.113,2,0.019,6,0.056,1,0.009,2,0.019,6,0.056,3,0.028,0,0.0,0,0.0,3,0.028,0,0.0,12,0.113,17,0.16,4,0.038,3,0.028,14,0.131,2,0.019,24,0.225,33,0.31,3,0.9,1.3,1.3,48.0,17.2,166,4.05,0.973,0.946,0.0,Медицина,Магазины,Транспорт,66.0,43.5,73.0,65.1,64.5,90.2,47.1,92.0,69.3,A,0,2.5363410414662866,-0.8778120558145813
Рудничный,55.378028,86.105002,91105,preset,district,Рудничный,4,0.044,3,0.033,1,0.011,1,0.011,0,0.0,1,0.011,0,0.0,1,0.011,1,0.011,0,0.0,1,0.011,0,0.0,0,0.0,5,0.055,3,0.033,0,0.0,1,0.011,0,0.0,1,0.011,2,0.022,20,0.22,3,0.9,1.3,1.3,44.5,6.0,25,3.88,0.88,0.76,0.0,Медицина,Магазины,Озеленение,34.7,26.3,33.3,61.7,57.9,64.9,29.8,67.0,48.9,C,3,-0.9917051182445296,-0.5839366777255807
Заводский,55.336527,86.022779,205840,preset_missing,district,Заводский,0,0.0,0,0.0,1,0.005,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.005,0,0.0,0,0.0,0,0.0,0,0.0,2,0.01,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,0.049,3,0.9,1.3,1.3,39.7,20.8,12,2.75,0.625,0.333,0.083,Медицина,Магазины,Транспорт,26.2,25.2,28.9,43.2,64.9,40.5,19.6,51.6,38.9,C,1,-2.1791563782250165,0.9323122704109172
Кировский,55.409791,86.003774,54378,preset,district,Кировский,0,0.0,4,0.074,0,0.0,0,0.0,1,0.018,0,0.0,0,0.0,1,0.018,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.037,1,0.018,0,0.0,0,0.0,0,0.0,1,0.018,1,0.018,2,0.037,3,0.8,1.2,1.3,47.6,13.6,22,3.27,0.818,0.682,0.045,Магазины,Транспорт,Озеленение,29.8,21.6,20.4,21.1,55.2,37.9,21.6,61.0,35.4,D,1,-3.0245728906950937,-0.26059567931420474
