district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000
Ворошиловский,47.306339,39.699659,18007,preset,district,Ворошиловский,3,0.167,2,0.111,0,0.0,1,0.056,2,0.111,2,0.111,2,0.111,4,0.222,0,0.0,0,0.0,0,0.0,1,0.056,0,0.0,5,0.278,4,0.222,1,0.056,2,0.111,10,0.555,1,0.056,11,0.611,15,0.833
Железнодорожный,47.20004,39.671926,287715,preset,district,Железнодорожный,2,0.007,4,0.014,1,0.003,2,0.007,10,0.035,6,0.021,1,0.003,3,0.01,2,0.007,1,0.003,0,0.0,6,0.021,0,0.0,11,0.038,7,0.024,2,0.007,4,0.014,13,0.045,0,0.0,10,0.035,27,0.094
Кировский,47.203545,39.751953,11193,preset,district,Кировский,1,0.089,1,0.089,0,0.0,0,0.0,0,0.0,0,0.0,13,1.161,0,0.0,0,0.0,0,0.0,1,0.089,0,0.0,0,0.0,1,0.089,1,0.089,0,0.0,12,1.072,4,0.357,3,0.268,35,3.127,12,1.072
Ленинский,47.209717,39.713232,152228,preset,district,Ленинский,3,0.02,2,0.013,4,0.026,2,0.013,18,0.118,45,0.296,24,0.158,22,0.145,1,0.007,1,0.007,1,0.007,6,0.039,1,0.007,30,0.197,11,0.072,5,0.033,21,0.138,18,0.118,1,0.007,13,0.085,58,0.381
Октябрьский,47.290525,39.66574,220361,preset,district,Октябрьский,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.014,3,0.014,0,0.0,0,0.0,0,0.0,0,0.0,1,0.005,0,0.0,7,0.032,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24,0.109
Первомайский,47.289827,39.770885,236323,preset,district,Первомайский,2,0.008,5,0.021,3,0.013,4,0.017,8,0.034,1,0.004,2,0.008,1,0.004,0,0.0,0,0.0,0,0.0,3,0.013,0,0.0,11,0.047,7,0.03,1,0.004,0,0.0,6,0.025,0,0.0,7,0.03,45,0.19
Пролетарский,47.212228,39.780142,14795,preset,district,Пролетарский,0,0.0,1,0.068,0,0.0,0,0.0,0,0.0,1,0.068,11,0.743,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.135,0,0.0,0,0.0,38,2.568,28,1.893,0,0.0,23,1.555,11,0.743
Советский,47.21396,39.608236,195346,preset,district,Советский,5,0.026,4,0.02,3,0.015,7,0.036,18,0.092,10,0.051,4,0.02,8,0.041,0,0.0,0,0.0,0,0.0,1,0.005,0,0.0,20,0.102,9,0.046,0,0.0,6,0.031,35,0.179,7,0.036,13,0.067,36,0.184
