district,review_count,avg_rating,avg_sentiment,positive_share,negative_share,top_problem_1,top_problem_2,top_problem_3
Ворошиловский,88,4.03,0.955,0.92,0.011,Освещение,Магазины,Транспорт
Железнодорожный,92,4.01,0.924,0.88,0.033,Медицина,Магазины,Транспорт
Кировский,13,3.62,0.731,0.538,0.077,Магазины,Транспорт,Озеленение
Ленинский,292,3.96,0.947,0.932,0.038,Магазины,Медицина,Транспорт
Октябрьский,41,3.73,0.927,0.854,0.0,Магазины,Транспорт,Озеленение
Первомайский,62,4.03,0.944,0.903,0.016,Медицина,Магазины,Транспорт
Пролетарский,18,3.83,0.778,0.611,0.056,Магазины,Транспорт,Озеленение
Советский,125,4.05,0.948,0.904,0.008,Медицина,Магазины,Транспорт
