district,lat,lon,population,zone_source,zone_type,zone_orig_name,schools_count,schools_per_1000,kindergartens_count,kindergartens_per_1000,hospitals_count,hospitals_per_1000,clinics_count,clinics_per_1000,pharmacies_count,pharmacies_per_1000,cafes_count,cafes_per_1000,restaurants_count,restaurants_per_1000,banks_count,banks_per_1000,libraries_count,libraries_per_1000,cinemas_count,cinemas_per_1000,theatres_count,theatres_per_1000,post_offices_count,post_offices_per_1000,culture_count,culture_per_1000,shops_count,shops_per_1000,supermarkets_count,supermarkets_per_1000,malls_count,malls_per_1000,parks_count,parks_per_1000,playgrounds_count,playgrounds_per_1000,fitness_count,fitness_per_1000,sport_fields_count,sport_fields_per_1000,bus_stops_count,bus_stops_per_1000,air_quality_index,pm2_5,pm10,no2,noise_level_db,green_coverage_pct,review_count,avg_rating,avg_sentiment,positive_share,negative_share,top_problem_1,top_problem_2,top_problem_3,infrastructure_score,education_score,healthcare_score,transport_score,ecology_score,safety_score,leisure_score,social_score,total_index,grade,cluster,pca_1,pca_2
Центральный,51.77731,55.117349,119654,preset,district,Центральный,12,0.1,11,0.092,13,0.109,10,0.084,39,0.326,22,0.184,9,0.075,27,0.226,3,0.025,0,0.0,2,0.017,7,0.059,0,0.0,22,0.184,28,0.234,19,0.159,11,0.092,5,0.042,7,0.059,13,0.109,55,0.46,2,10.8,35.6,0.1,49.9,25.5,227,4.03,0.967,0.938,0.004,Магазины,Транспорт,Озеленение,72.8,40.8,99.9,67.2,77.4,94.7,75.6,91.4,77.8,A,1,4.853470946998708,-0.028814268105967912
Промышленный,51.706877,55.522482,126317,preset_missing,district,Промышленный,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,10.9,36.1,0.1,36.0,19.0,9,1.44,0.5,0.0,0.0,Магазины,Транспорт,Озеленение,24.4,20.4,18.3,17.5,68.5,33.7,19.6,48.2,32.4,D,0,-1.4347509077948417,0.5244060704408018
Дзержинский,51.870439,55.23161,145457,preset_missing,district,Дзержинский,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,10.1,30.4,0.1,38.0,9.0,9,1.44,0.5,0.0,0.0,Магазины,Транспорт,Озеленение,24.4,20.4,18.3,17.5,65.4,33.7,19.6,48.2,32.0,D,2,-1.6198135700996201,0.004009089574394142
Ленинский,51.589867,55.420607,145087,preset_missing,district,Ленинский,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,11.6,41.6,0.1,39.0,3.0,9,1.44,0.5,0.0,0.0,Магазины,Транспорт,Озеленение,24.4,20.4,18.3,17.5,62.4,33.7,19.6,48.2,31.6,D,2,-1.7989064691042456,-0.4996008919092282
